"ano_per","tipo","componente","ch","turma","freq","media","situacao"
"2019.2","","ENADE","0","--","--","--","--"
"2019.2","","AA013","40","14","100,0","--","TRANCADO"
"2019.2","","IB157","60","--","96,0","8,6","APR"
"2019.2","","IE160","30","01","100,0","8,0","APR"
"2019.2","","IE163","30","01","93,0","8,6","APR"
"2019.2","","IE178","900h)90","--","100,0","8,0","APR"
"2019.2","","IE180","60","01","100,0","7,6","APR"
"2019.2","#","IE633","30","01","100,0","9,8","APR"
"2019.2","","IH391","60","01","100,0","--","TRANCADO"
"2019.2","","IH413","60","14","100,0","--","TRANCADO"
"2019.2","","IH424","60","14","100,0","--","TRANCADO"
"2019.2","e","IH427","SCHMITT6030h60","14","100,0","--","TRANCADO"
"2020.1","","AA144","40","02","100,0","--","REP"
"2020.1","","IE122","45","01","41,0","2,5","REPF"
"2020.1","","IE125","60","01","25,0","0,0","REPF"
"2020.1","","IE127","30","01","3,0","0,0","REPF"
"2020.1","","IE147","60","01","100,0","0,0","REP"
"2020.1","","IE155","30","01","100,0","0,0","REP"
"2020.1","","IE164","30","01","100,0","0,0","REP"
"2020.1","","IE175","30","01","100,0","0,0","REP"
"2020.1","","IE179","60","01","11,0","0,0","REPF"
"2020.1","","IE181","60","01","3,0","0,0","REPF"
"2020.1","","IE384","60","05","100,0","--","TRANCADO"
"2020.2","","IE127","30","01","100,0","--","CANCELADO"
"2020.2","","IE157","30","01","92,0","--","CANCELADO"
"2020.2","","IE172","45","01","100,0","--","CANCELADO"
"2020.2","","IE175","30","01","100,0","--","CANCELADO"
"2020.5","","IE184","60","01","100,0","7,5","APR"
"2021.1","","IE122","45","01","100,0","--","MATRICULADO"
"2021.1","","IE158","30","01","100,0","--","MATRICULADO"
"2021.1","","IE181","60","01","100,0","--","MATRICULADO"
"2021.1","","IE188","60","01","100,0","--","MATRICULADO"
"2021.1","","IE384","60","06","100,0","--","MATRICULADO"
